Date,Open,High,Low,Close,Adj Close,Volume
2021-02-18,650.000000,652.400024,637.599976,644.650024,644.650024,27845347
2021-02-19,635.500000,635.500000,619.000000,624.049988,624.049988,24055811
2021-02-22,622.000000,629.299988,607.299988,609.849976,609.849976,27092321
2021-02-23,614.750000,623.049988,609.049988,616.299988,616.299988,23534585
2021-02-24,615.099976,645.000000,615.099976,641.099976,641.099976,17762047
2021-02-25,642.700012,648.400024,626.299988,628.000000,628.000000,38571809
2021-02-26,615.000000,615.000000,590.900024,597.750000,597.750000,57349273
2021-03-01,607.549988,611.849976,600.200012,608.349976,608.349976,21527318
2021-03-02,610.000000,616.500000,599.000000,610.500000,610.500000,24051433
2021-03-03,618.000000,633.750000,613.849976,632.099976,632.099976,21036174
2021-03-04,618.750000,630.900024,615.799988,620.750000,620.750000,25057198
2021-03-05,613.200012,614.700012,601.500000,609.450012,609.450012,26645968
2021-03-08,611.599976,616.000000,601.150024,608.049988,608.049988,19632433
2021-03-09,614.849976,628.349976,612.299988,625.099976,625.099976,23056249
2021-03-10,628.750000,630.500000,621.799988,625.599976,625.599976,15838994
2021-03-12,631.450012,638.000000,608.349976,612.849976,612.849976,21757862
2021-03-15,611.900024,612.849976,590.599976,603.500000,603.500000,24347946
2021-03-16,606.849976,607.000000,593.650024,594.950012,594.950012,17925629
2021-03-17,597.549988,603.650024,587.000000,589.500000,589.500000,20214082
2021-03-18,594.750000,601.400024,575.500000,578.599976,578.599976,22776537
2021-03-19,575.200012,588.900024,570.000000,586.650024,586.650024,29162618
2021-03-22,586.849976,586.849976,569.500000,573.450012,573.450012,21755401
2021-03-23,576.000000,589.250000,574.299988,586.400024,586.400024,29486417
2021-03-24,580.000000,580.549988,565.000000,567.500000,567.500000,24434219
2021-03-25,568.099976,579.000000,557.099976,571.549988,571.549988,27170186
2021-03-26,584.500000,584.500000,574.299988,578.549988,578.549988,20724410
2021-03-30,582.000000,593.099976,582.000000,591.450012,591.450012,28011943
2021-03-31,586.000000,589.650024,579.000000,582.099976,582.099976,20119972
2021-04-01,587.549988,596.099976,580.200012,594.400024,594.400024,15631940
2021-04-05,592.000000,592.000000,563.500000,571.250000,571.250000,23260127
2021-04-06,574.700012,578.500000,564.400024,565.900024,565.900024,23284697
2021-04-07,566.549988,580.000000,559.400024,577.650024,577.650024,23984399
2021-04-08,582.000000,585.849976,573.299988,576.700012,576.700012,19262565
2021-04-09,573.950012,579.000000,565.000000,566.200012,566.200012,23239564
2021-04-12,551.400024,551.950012,531.150024,538.549988,538.549988,26601702
2021-04-13,541.000000,563.799988,537.849976,560.599976,560.599976,25445897
2021-04-15,565.950012,576.750000,554.150024,575.200012,575.200012,37614884
2021-04-16,574.599976,577.750000,564.099976,566.950012,566.950012,24045008
2021-04-19,550.000000,562.299988,534.400024,559.750000,559.750000,28526176
2021-04-20,565.200012,572.650024,552.599976,559.099976,559.099976,24425842
2021-04-22,552.000000,580.599976,546.900024,579.200012,579.200012,34942633
2021-04-23,569.900024,580.500000,567.049988,569.950012,569.950012,33749097
2021-04-26,602.000000,605.500000,588.000000,591.099976,591.099976,62584522
2021-04-27,593.250000,601.950012,591.099976,598.750000,598.750000,24239685
2021-04-28,598.000000,622.799988,598.000000,621.349976,621.349976,33292864
2021-04-29,622.549988,628.450012,609.000000,621.450012,621.450012,34537860
2021-04-30,610.099976,616.349976,598.099976,600.500000,600.500000,23653258
2021-05-03,592.549988,598.849976,587.500000,596.750000,596.750000,18010557
2021-05-04,596.650024,608.000000,589.000000,591.549988,591.549988,15115127
2021-05-05,595.299988,604.799988,584.700012,602.799988,602.799988,17253943
2021-05-06,602.799988,610.849976,599.250000,608.200012,608.200012,16949763
2021-05-07,612.000000,614.799988,603.700012,607.099976,607.099976,10941083
2021-05-10,611.000000,617.000000,611.000000,613.250000,613.250000,12060808
2021-05-11,606.400024,612.900024,603.250000,609.849976,609.849976,13818480
2021-05-12,603.200012,606.650024,593.200012,594.750000,594.750000,14785569
2021-05-14,592.000000,601.950012,591.099976,597.299988,597.299988,12675754
2021-05-17,603.250000,624.500000,601.200012,623.599976,623.599976,20453101
2021-05-18,628.000000,635.500000,626.000000,633.200012,633.200012,19242627
2021-05-19,627.099976,634.000000,623.349976,625.450012,625.450012,13911576
2021-05-20,628.049988,632.900024,616.650024,618.599976,618.599976,13900762
2021-05-21,622.299988,643.950012,622.299988,642.450012,642.450012,23975898
2021-05-24,643.250000,653.450012,638.000000,647.349976,647.349976,20323003
2021-05-25,650.099976,652.000000,642.500000,650.299988,650.299988,14884778
2021-05-26,649.349976,656.650024,643.299988,652.500000,652.500000,14487031
2021-05-27,651.099976,656.500000,648.099976,652.250000,652.250000,23349546
2021-05-28,658.049988,660.000000,639.250000,643.049988,643.049988,14191446
2021-05-31,643.750000,665.000000,643.750000,662.750000,662.750000,21786138
2021-06-01,664.549988,664.900024,648.349976,650.099976,650.099976,14123196
2021-06-02,648.500000,649.349976,641.099976,648.349976,648.349976,16025108
2021-06-03,653.450012,653.650024,644.750000,650.250000,650.250000,11805702
2021-06-04,653.000000,654.900024,639.400024,642.700012,642.700012,15111572
2021-06-07,645.200012,650.000000,644.250000,648.200012,648.200012,7556341
2021-06-08,648.000000,648.000000,637.400024,642.400024,642.400024,11912935
2021-06-09,644.400024,645.599976,628.799988,636.099976,636.099976,15823094
2021-06-10,635.450012,642.400024,631.000000,640.400024,640.400024,10712418
2021-06-11,644.000000,644.549988,631.500000,635.700012,635.700012,9015059
2021-06-14,635.700012,636.099976,623.349976,635.150024,635.150024,10170497
2021-06-15,636.349976,646.200012,636.000000,645.299988,645.299988,11039987
2021-06-16,644.900024,649.200012,637.599976,640.099976,640.099976,8601339
2021-06-17,633.049988,637.549988,626.700012,633.000000,633.000000,9720060
2021-06-18,632.599976,636.599976,620.700012,630.400024,630.400024,13820690
2021-06-21,622.849976,633.099976,616.250000,631.250000,631.250000,13407446
2021-06-22,635.000000,644.099976,629.549988,630.849976,630.849976,15270093
2021-06-23,633.750000,635.000000,623.450012,624.700012,624.700012,10950633
2021-06-24,627.000000,636.299988,624.450012,634.049988,634.049988,12815724
2021-06-25,636.099976,650.000000,636.099976,649.000000,649.000000,14785922
2021-06-28,651.000000,653.000000,646.150024,650.299988,650.299988,12093491
2021-06-29,646.299988,648.750000,636.450012,640.099976,640.099976,12225470
2021-06-30,638.299988,640.799988,629.799988,630.900024,630.900024,14276494
2021-07-01,633.950012,637.400024,630.049988,630.849976,630.849976,10517081
2021-07-02,632.250000,641.349976,632.250000,640.250000,640.250000,10999396
2021-07-05,642.750000,648.500000,641.200012,647.849976,647.849976,7358568
2021-07-06,645.200012,655.000000,645.200012,650.299988,650.299988,9209891
2021-07-07,650.900024,654.750000,645.900024,654.000000,654.000000,7741559
2021-07-08,650.500000,654.000000,638.099976,641.900024,641.900024,10782941
